originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,HKG,Hong Kong,2901,197,0,130,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,JPN,Japan,6575,4,0,6876,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,KOR,South Korea,1674,28,14064,17775,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,BRN,Brunei,0,0,0,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,IDN,Indonesia,95,0,120,75,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,KHM,Cambodia,17,1763,0,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,MMR,Myanmar,0,0,0,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,MYS,Malaysia,0,39,26,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,PHL,Philippines,522,569,202,337,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,SGP,Singapore,49,6076,139,338,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,THA,Thailand,0,9144,2900,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,VNM,Vietnam,33,244,3,5,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,BRN,Brunei,9,0,49,60,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,IDN,Indonesia,0,0,1903,1165,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,KHM,Cambodia,123,9050,31,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,MMR,Myanmar,0,0,0,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,MYS,Malaysia,22,171,393,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,PHL,Philippines,8246,322,835,1251,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,SGP,Singapore,554,2,2293,5669,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,THA,Thailand,4,37394,82180,32327,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,VNM,Vietnam,567,97,370,531,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,AUS,Australia,3780,3161,1368,2403,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,NZL,New Zealand,1715,1493,416,389,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,AUS,Australia,22617,257,19184,39044,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,NZL,New Zealand,8560,224,7775,9709,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,ARG,Argentina,224,211,0,0,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,BOL,Bolivia,83,144,204,203,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,BRA,Brazil,435,346,55,114,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,CHL,Chile,1546,597,29,16,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,COL,Colombia,56,291,152,125,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,CRI,Costa Rica,74,996,10,6,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,CUB,Cuba,0,0,0,0,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,DOM,Dominican Republic,479,1259,64,52,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,ECU,Ecuador,207,1,607,724,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,GTM,Guatemala,0,0,0,15,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,HND,Honduras,4,131,0,3,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,HTI,Haiti,123,295,59,28,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,JAM,Jamaica,129,500,65,51,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,MEX,Mexico,1239,11773,0,129,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,NIC,Nicaragua,0,0,0,0,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,PER,Peru,1,2,0,0,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,PRI,Puerto Rico,31,2238,0,0,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,PRY,Paraguay,84,5,48,41,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,SLV,El Salvador,0,0,0,0,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,CAN,Canada,VEN,Venezuela,89,184,348,34,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,ARG,Argentina,1643,1,0,21,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,BOL,Bolivia,552,23,2446,2505,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,BRA,Brazil,8027,233,4632,6442,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,CHL,Chile,5575,207,2088,1728,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,COL,Colombia,2224,452,7535,7143,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,CRI,Costa Rica,1016,409,1495,1423,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,CUB,Cuba,0,0,49,20,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,DOM,Dominican Republic,3415,579,1316,1338,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,ECU,Ecuador,3674,0,24928,29496,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,GTM,Guatemala,0,0,419,1663,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,HND,Honduras,1226,379,25,561,1,1
1,North America,10,Latin America,189859,69180,210561,276908,,USA,United States,HTI,Haiti,858,150,894,561,1,1
